PeakID (cmd=annotatePeaks.pl shared_777_mESC_peaks_EGFP_clone2_3_over_21_3163_mm10_vM25.bed mm10),Chr,Start,End,Strand,Peak Score,Focus Ratio/Region Size,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Unigene,Nearest Refseq,Nearest Ensembl,Gene Name,Gene Alias,Gene Description,Gene Type
289,chr10,120475017,120476178,+,0,NA,"intron (NM_001347170, intron 1 of 5)",CpG,872,NM_010441,15364,,NM_010441,ENSMUSG00000056758,Hmga2,9430083A20Rik|HMGI-C|Hmgic|pg|pygmy,high mobility group AT-hook 2,protein-coding
1257,chr17,47833387,47833613,+,0,NA,promoter-TSS (NM_010783),promoter-TSS (NM_010783),-209,NM_001276390,17240,,NM_010783,ENSMUSG00000032717,Mdfi,I-mf|I-mfa,MyoD family inhibitor,protein-coding
3118,chrX,105764538,105765416,+,0,NA,"intron (NM_030614, intron 1 of 2)",CpG,500,NM_030614,80903,,NM_030614,ENSMUSG00000031230,Fgf16,Fgf4c,fibroblast growth factor 16,protein-coding
1399,chr19,4100050,4100489,+,0,NA,promoter-TSS (NM_008851),promoter-TSS (NM_008851),271,NR_075078,18739,,NM_008851,ENSMUSG00000024851,Pitpnm1,DRES9|Mpt-1|Nir-2|PITPnm 1|Pitpnm|Rd9|RdgB|RdgB1,"phosphatidylinositol transfer protein, membrane-associated 1",protein-coding
2116,chr4,152282832,152283378,+,0,NA,"exon (NM_001374784, exon 6 of 6)","exon (NM_001374784, exon 6 of 6)",8557,NM_008237,15207,,NM_008237,ENSMUSG00000028946,Hes3,Hes-3|bHLHb43,hes family bHLH transcription factor 3,protein-coding
891,chr14,54576049,54576751,+,0,NA,"exon (NM_010590, exon 1 of 8)","exon (NM_010590, exon 1 of 8)",1261,NM_010590,16475,,NM_010590,ENSMUSG00000022178,Ajuba,Jub,ajuba LIM protein,protein-coding
2301,chr6,24955086,24956006,+,0,NA,"exon (NM_177013, exon 1 of 1)","exon (NM_177013, exon 1 of 1)",579,NM_177013,319832,,NM_177013,ENSMUSG00000048022,Tmem229a,6332401O19Rik,transmembrane protein 229A,protein-coding
3102,chrX,94796188,94796855,+,0,NA,"non-coding (NR_003292, exon 1 of 1)","non-coding (NR_003292, exon 1 of 1)",1768,NR_003292,668171,,NR_003292,,Zxda,4933406P09Rik,"zinc finger, X-linked, duplicated A",pseudo
2009,chr4,109978005,109978429,+,0,NA,"5' UTR (NM_172296, exon 1 of 3)","5' UTR (NM_172296, exon 1 of 3)",192,NM_172296,242620,,NM_172296,ENSMUSG00000047143,Dmrta2,Dmrt5,doublesex and mab-3 related transcription factor like family A2,protein-coding
232,chr10,52690572,52691482,+,0,NA,"exon (NM_178675, exon 1 of 8)","exon (NM_178675, exon 1 of 8)",526,NM_178675,215085,,NM_178675,ENSMUSG00000038602,Slc35f1,Duf6|E130016L02,"solute carrier family 35, member F1",protein-coding
2269,chr5,138995785,138996969,+,0,NA,Intergenic,Intergenic,-1433,NM_001363271,18590,,NM_008808,ENSMUSG00000025856,Pdgfa,PDGF-1,"platelet derived growth factor, alpha",protein-coding
1315,chr18,11054122,11055112,+,0,NA,"exon (NM_010258, exon 2 of 7)","exon (NM_010258, exon 2 of 7)",-2050,NR_105023,68434,,NR_105022,ENSMUSG00000097222,Gata6os,1010001N08Rik|Gata6as|LncGata6,"GATA binding protein 6, opposite strand",ncRNA
280,chr10,112271797,112272354,+,0,NA,"exon (NM_001025581, exon 2 of 5)","exon (NM_001025581, exon 2 of 5)",802,NM_001359753,268345,,NM_001025581,ENSMUSG00000035681,Kcnc2,B230117I07|KShIIIA|Kv3.2,"potassium voltage gated channel, Shaw-related subfamily, member 2",protein-coding
2652,chr7,142094338,142094989,+,0,NA,"intron (NM_008748, intron 1 of 6)",CpG,621,NM_008748,18218,,NM_008748,ENSMUSG00000037887,Dusp8,5530400B01Rik|Nttp1,dual specificity phosphatase 8,protein-coding
2367,chr6,84584745,84584962,+,0,NA,"intron (NM_175475, intron 2 of 6)",CpG-12217,8957,NM_175475,232174,,NM_175475,ENSMUSG00000063415,Cyp26b1,CP26|P450RAI-2,"cytochrome P450, family 26, subfamily b, polypeptide 1",protein-coding
1302,chr17,94749505,94750093,+,0,NA,promoter-TSS (NR_024720),promoter-TSS (NR_024720),220,NM_176917,76781,,NM_176917,ENSMUSG00000055660,Mettl4,2410198H06Rik|A730091E08Rik|HsT661,"methyltransferase 4, N6-adenosine",protein-coding
2248,chr5,123015039,123016131,+,0,NA,"intron (NM_175423, intron 1 of 1)",CpG,511,NM_175423,109305,,NM_175423,ENSMUSG00000049686,Orai1,D730049H07Rik|Tmem142a|orai-1,ORAI calcium release-activated calcium modulator 1,protein-coding
1439,chr19,30029944,30031270,+,0,NA,promoter-TSS (NM_144873),promoter-TSS (NM_144873),94,NM_144873,109113,,NM_144873,ENSMUSG00000024817,Uhrf2,2310065A22Rik|D130071B19Rik|Nirf,"ubiquitin-like, containing PHD and RING finger domains 2",protein-coding
1686,chr2,154407444,154408683,+,0,NA,promoter-TSS (NM_009228),promoter-TSS (NM_009228),21,NM_009228,20648,,NM_009228,ENSMUSG00000027488,Snta1,Snt1,"syntrophin, acidic 1",protein-coding
85,chr1,72307013,72307510,+,0,NA,promoter-TSS (NM_001357520),promoter-TSS (NM_001357520),-160,NM_001357520,22596,,NM_009533,ENSMUSG00000026187,Xrcc5,CTC85|CTCBF|Ku80|Ku86,X-ray repair complementing defective repair in Chinese hamster cells 5,protein-coding
49,chr1,33670334,33670647,+,0,NA,promoter-TSS (NM_008922),promoter-TSS (NM_008922),666,NR_033199,67503,,NM_026204,ENSMUSG00000103746,1700001G17Rik,-,RIKEN cDNA 1700001G17 gene,ncRNA
186,chr1,184033524,184033968,+,0,NA,promoter-TSS (NM_022019),promoter-TSS (NM_022019),252,NM_028516,73363,,NM_028516,ENSMUSG00000044854,1700056E22Rik,-,RIKEN cDNA 1700056E22 gene,protein-coding
1470,chr19,47252772,47253721,+,0,NA,"exon (NM_021360, exon 4 of 6)","exon (NM_021360, exon 4 of 6)",20343,NR_105961,102466782,,NR_105961,ENSMUSG00000098786,Mir6995,Gm27576|mmu-mir-6995,microRNA 6995,ncRNA
1867,chr3,122729648,122730837,+,0,NA,"intron (NM_153422, intron 1 of 20)",CpG,1084,NM_153422,242202,,NM_153422,ENSMUSG00000053965,Pde5a,Cgbpde|Cn5n|PDE5a2|Pde5|Pde5a1,"phosphodiesterase 5A, cGMP-specific",protein-coding
2424,chr6,125081548,125082189,+,0,NA,"exon (NM_001163269, exon 2 of 2)","exon (NM_001163269, exon 2 of 2)",10533,NM_001163268,381810,,NM_001163268,ENSMUSG00000067714,Lpar5,GPR93|Gm1072|Gpr92|LPA5,lysophosphatidic acid receptor 5,protein-coding
2651,chr7,142082116,142082643,+,0,NA,"exon (NM_008748, exon 7 of 7)","exon (NM_008748, exon 7 of 7)",12905,NM_008748,18218,,NM_008748,ENSMUSG00000037887,Dusp8,5530400B01Rik|Nttp1,dual specificity phosphatase 8,protein-coding
2914,chr9,40455286,40456122,+,0,NA,promoter-TSS (NM_172768),promoter-TSS (NM_172768),60,NM_172768,235283,,NM_172768,ENSMUSG00000040111,Gramd1b,3222402H23|A930008A22Rik|mKIAA1201,GRAM domain containing 1B,protein-coding
1089,chr16,15886570,15888062,+,0,NA,promoter-TSS (NM_007679),promoter-TSS (NM_007679),30,NM_007679,12609,,NM_007679,ENSMUSG00000071637,Cebpd,c/EBPdelta,CCAAT/enhancer binding protein delta,protein-coding
1303,chr18,3507831,3508716,+,0,NA,"exon (NM_026505, exon 1 of 3)","exon (NM_026505, exon 1 of 3)",316,NM_026505,68010,,NM_026505,ENSMUSG00000024232,Bambi,2610003H06Rik,BMP and activin membrane-bound inhibitor,protein-coding
1992,chr4,99715672,99716069,+,0,NA,"intron (NM_001081264, intron 1 of 14)",CpG,240,NM_001081264,320438,,NM_001081264,ENSMUSG00000073792,Alg6,E230028F23Rik,"ALG6 alpha-1,3-glucosyltransferase",protein-coding
1897,chr3,145576242,145576710,+,0,NA,"exon (NM_001081094, exon 1 of 10)","exon (NM_001081094, exon 1 of 10)",260,NM_001346521,229937,,NM_001081094,ENSMUSG00000074182,Znhit6,2410019A14Rik,"zinc finger, HIT type 6",protein-coding
451,chr11,88864007,88864774,+,0,NA,"intron (NR_126433, intron 3 of 4)",CpG,196,NM_001042541,11640,,NM_009648,ENSMUSG00000018428,Akap1,AKAP121|AKAP84|Akap|DAKAP1|S-AKAP84,A kinase anchor protein 1,protein-coding
2573,chr7,81453463,81455194,+,0,NA,"intron (NM_007755, intron 1 of 11)",CpG,430,NM_001252525,12877,,NM_007755,ENSMUSG00000025586,Cpeb1,Cpe-bp1|Cpeb|mCPEB|mCpeb-1,cytoplasmic polyadenylation element binding protein 1,protein-coding
1459,chr19,44266632,44266913,+,0,NA,Intergenic,L1M4|LINE|L1,-26904,NM_009128,20250,,NM_009128,ENSMUSG00000025203,Scd2,Mir5114|Scd-2|mir-5114|swty,stearoyl-Coenzyme A desaturase 2,protein-coding
1050,chr15,98871079,98871797,+,0,NA,promoter-TSS (NM_001033276),promoter-TSS (NM_001033276),-233,NM_001033276,381022,,NM_001033276,ENSMUSG00000048154,Kmt2d,ALR|C430014K11Rik|KMT2B|Mll2|Mll4|bapa,lysine (K)-specific methyltransferase 2D,protein-coding
3128,chrX,137118819,137119699,+,0,NA,"intron (NM_007957, intron 2 of 4)",CpG,1067,NM_007957,13984,,NM_007957,ENSMUSG00000023443,Esx1,Spx1,"extraembryonic, spermatogenesis, homeobox 1",protein-coding
3034,chr9,110857884,110858227,+,0,NA,promoter-TSS (NM_146227),promoter-TSS (NM_146227),88,NM_146227,235631,,NM_146227,ENSMUSG00000048752,Prss50,79H19C|Tsp50,serine protease 50,protein-coding
627,chr12,80692516,80693213,+,0,NA,promoter-TSS (NR_037995),promoter-TSS (NR_037995),263,NM_001177503,217682,,NM_001177503,ENSMUSG00000066438,Plekhd1,3830431G21Rik,"pleckstrin homology domain containing, family D (with coiled-coil domains) member 1",protein-coding
2156,chr5,30888851,30889456,+,0,NA,promoter-TSS (NM_001294262),promoter-TSS (NM_001294262),147,NM_001048192,231093,,NM_174849,ENSMUSG00000029165,Agbl5,9430057O19Rik|CCP5,ATP/GTP binding protein-like 5,protein-coding
2312,chr6,30958092,30958761,+,0,NA,"exon (NM_001135093, exon 1 of 1)","exon (NM_001135093, exon 1 of 1)",564,NM_001135093,619665,,NM_001135093,ENSMUSG00000073209,Klf14,5330411L03Rik|BTEB5,Kruppel-like transcription factor 14,protein-coding
2101,chr4,146263287,146263558,+,0,NA,Intergenic,CpG,-6963,NM_001083918,666532,,NM_001083918,ENSMUSG00000067916,Zfp991,Gm13139,zinc finger protein 991,protein-coding
80,chr1,63113369,63113942,+,0,NA,promoter-TSS (NR_045915),promoter-TSS (NR_045915),612,NM_001081436,227195,,NM_001081436,ENSMUSG00000040865,Ino80d,7330405I11|A430093A21Rik,INO80 complex subunit D,protein-coding
559,chr12,3808118,3808425,+,0,NA,"intron (NM_001271753, intron 1 of 22)","intron (NM_001271753, intron 1 of 22)",1111,NM_001271753,13435,,NM_007872,ENSMUSG00000020661,Dnmt3a,MmuIIIA,DNA methyltransferase 3A,protein-coding
1504,chr2,25185476,25186414,+,0,NA,Intergenic,CpG,5187,NM_025980,67122,,NM_025980,ENSMUSG00000078202,Nrarp,2700054M22Rik,Notch-regulated ankyrin repeat protein,protein-coding
1080,chr16,10192926,10193222,+,0,NA,"intron (NM_153123, intron 1 of 10)",CpG,168,NM_153123,75329,,NM_029253,ENSMUSG00000039200,Atf7ip2,4930558K11Rik|Get-1|PSM2,activating transcription factor 7 interacting protein 2,protein-coding
2012,chr4,114406492,114407041,+,0,NA,promoter-TSS (NM_001085549),promoter-TSS (NM_001085549),42,NM_001085549,666048,,NM_001085549,ENSMUSG00000070867,Trabd2b,Gm12824|Hkat,TraB domain containing 2B,protein-coding
353,chr11,51967568,51968191,+,0,NA,"exon (NM_029976, exon 1 of 3)","exon (NM_029976, exon 1 of 3)",248,NM_029976,52626,,NM_029976,ENSMUSG00000020392,Cdkn2aipnl,A430101B06Rik|D11Ertd497e|MNCb-1520,CDKN2A interacting protein N-terminal like,protein-coding
140,chr1,135104897,135105587,+,0,NA,promoter-TSS (NM_001033409),promoter-TSS (NM_001033409),34,NM_001033409,329252,,NM_001033409,ENSMUSG00000042793,Lgr6,A530037C04Rik|D830026M09,leucine-rich repeat-containing G protein-coupled receptor 6,protein-coding
86,chr1,74124379,74125203,+,0,NA,promoter-TSS (NM_001170641),promoter-TSS (NM_001170641),-243,NM_027884,21961,,NM_027884,ENSMUSG00000055322,Tns1,1110018I21Rik|1200014E20Rik|E030018G17Rik|E030037J05Rik|Tns,tensin 1,protein-coding
2419,chr6,124415573,124415942,+,0,NA,promoter-TSS (NM_001360570),promoter-TSS (NM_001360570),98,NM_001360570,19305,,NM_008995,ENSMUSG00000005069,Pex5,ESTM1|PTS1-BP|PTS1R|PXR1P|Pxr1,peroxisomal biogenesis factor 5,protein-coding
2699,chr8,41374660,41375150,+,0,NA,promoter-TSS (NM_019734),promoter-TSS (NM_019734),-208,NM_019734,11886,,NM_019734,ENSMUSG00000031591,Asah1,2310081N20Rik|AC|Asah,N-acylsphingosine amidohydrolase 1,protein-coding
2469,chr7,16884313,16886878,+,0,NA,"exon (NM_001081655, exon 4 of 4)","exon (NM_001081655, exon 4 of 4)",-6191,NM_010320,14709,,NM_010320,ENSMUSG00000063594,Gng8,G(y)8|Hg3e,"guanine nucleotide binding protein (G protein), gamma 8",protein-coding
548,chr11,119942296,119942896,+,0,NA,promoter-TSS (NM_001037754),promoter-TSS (NM_001037754),-496,NM_001037754,108100,,NM_130862,ENSMUSG00000025372,Baiap2,IRSp53,brain-specific angiogenesis inhibitor 1-associated protein 2,protein-coding
313,chr11,4848681,4849623,+,0,NA,"5' UTR (NM_001252252, exon 1 of 16)","5' UTR (NM_001252252, exon 1 of 16)",392,NM_001252252,18016,,NM_010898,ENSMUSG00000009073,Nf2,merlin,neurofibromin 2,protein-coding
2800,chr8,121116464,121116784,+,0,NA,"exon (NM_013519, exon 1 of 1)","exon (NM_013519, exon 1 of 1)",453,NM_013519,14234,,NM_013519,ENSMUSG00000046714,Foxc2,Fkh14|Hfhbf3|MFH-1|Mfh1,forkhead box C2,protein-coding
1557,chr2,54084629,54085607,+,0,NA,"exon (NM_023396, exon 1 of 1)","exon (NM_023396, exon 1 of 1)",434,NM_023396,67874,,NM_023396,ENSMUSG00000075334,Rprm,2410012A13Rik|Reprimo,"reprimo, TP53 dependent G2 arrest mediator candidate",protein-coding
1550,chr2,38711554,38711989,+,0,NA,"intron (NM_139051, intron 1 of 6)",CpG-8071,463,NM_001316687,26423,,NM_139051,ENSMUSG00000026751,Nr5a1,Ad4BP|ELP|ELP-3|Ftz-F1|Ftzf1|SF-1|SF1|STF-1,"nuclear receptor subfamily 5, group A, member 1",protein-coding
2797,chr8,120229010,120229764,+,0,NA,Intergenic,CpG,-1157,NR_110496,434353,,NR_110496,ENSMUSG00000097960,A330074K22Rik,-,RIKEN cDNA A330074K22 gene,ncRNA
1547,chr2,37786313,37787148,+,0,NA,"exon (NM_001163566, exon 4 of 13)","exon (NM_001163566, exon 4 of 13)",10481,NM_001163566,241324,,NM_001163566,ENSMUSG00000035403,Crb2,5930402A21,crumbs family member 2,protein-coding
2832,chr8,123579312,123580232,+,0,NA,Intergenic,Intergenic,-13685,NR_046127,100861480,,NR_046127,ENSMUSG00000119748,Gm25018,Rn5s10,"predicted gene, 25018",rRNA
2017,chr4,116075893,116076255,+,0,NA,"intron (NM_153521, intron 1 of 9)",CpG,805,NM_153521,230654,,NM_153521,ENSMUSG00000028703,Lrrc41,D630045E04Rik|D730026A16Rik|MUF1,leucine rich repeat containing 41,protein-coding
154,chr1,160792340,160792926,+,0,NA,"intron (NM_013862, intron 1 of 20)",CpG,305,NM_013862,29809,,NM_013862,ENSMUSG00000026721,Rabgap1l,5830411O09Rik|8430421H08Rik|9630005B12Rik|HHL|Hh1|mKIAA0471,RAB GTPase activating protein 1-like,protein-coding
2289,chr6,4923839,4924196,+,0,NA,"intron (NR_156747, intron 2 of 17)","intron (NR_156747, intron 2 of 17)",20706,NR_156747,243725,,NM_181595,ENSMUSG00000032827,Ppp1r9a,2810430P21Rik|4930518N04Rik|5330407E15|A230094E16Rik|NRB|neurabin-I,"protein phosphatase 1, regulatory subunit 9A",protein-coding
102,chr1,88277223,88277678,+,0,NA,"exon (NM_198652, exon 1 of 8)","exon (NM_198652, exon 1 of 8)",107,NM_172505,212427,,NM_172505,,A730008H23Rik,Fleg1,RIKEN cDNA A730008H23 gene,protein-coding
1013,chr15,79803356,79804410,+,0,NA,"intron (NM_001013360, intron 4 of 7)",CpG,826,NM_030689,73340,,NM_030689,ENSMUSG00000022421,Nptxr,1200009K17Rik|1700036C17Rik|5730406O18Rik|D15Bwg0580e|NPR|Npcd,neuronal pentraxin receptor,protein-coding
565,chr12,8301444,8302484,+,0,NA,promoter-TSS (NM_001312876),promoter-TSS (NM_001312876),-10,NM_001312876,238057,,NM_013527,ENSMUSG00000037660,Gdf7,BMP12,growth differentiation factor 7,protein-coding
2673,chr8,15028086,15029259,+,0,NA,"exon (NM_029116, exon 2 of 2)","exon (NM_029116, exon 2 of 2)",17406,NR_037972,434285,,NM_001007591,ENSMUSG00000049008,BB014433,-,expressed sequence BB014433,ncRNA
1542,chr2,34913366,34914327,+,0,NA,"intron (NM_028716, intron 1 of 14)",CpG,130,NM_028716,74016,,NM_028716,ENSMUSG00000026873,Phf19,3110009G19Rik|3321402G02Rik,PHD finger protein 19,protein-coding
2866,chr9,3000297,3001498,+,0,NA,Intergenic,GSAT_MM|Satellite|Satellite,37846,NR_039546,100628572,,NR_039546,ENSMUSG00000106183,Mir101c,mir-101c|mmu-mir-101c,microRNA 101c,ncRNA
17,JH584304.1,87726,88508,+,0,NA,NA,NA,NA,NA,,,,,,,,
2070,chr4,133599738,133600025,+,0,NA,TTS (NM_018754),TTS (NM_018754),2287,NM_018754,55948,,NM_018754,ENSMUSG00000047281,Sfn,14-3-3|Er|Mme1|Ywhas,stratifin,protein-coding
466,chr11,96345930,96346463,+,0,NA,"exon (NM_010458, exon 2 of 2)","exon (NM_010458, exon 2 of 2)",2427,NM_010458,15410,,NM_010458,ENSMUSG00000048763,Hoxb3,Hox-2.7,homeobox B3,protein-coding
1780,chr3,58691532,58691618,+,0,NA,"exon (NM_009174, exon 1 of 2)","exon (NM_009174, exon 1 of 2)",813,NM_009174,20439,,NM_009174,ENSMUSG00000036432,Siah2,Sinh2,siah E3 ubiquitin protein ligase 2,protein-coding
1346,chr18,42275453,42276068,+,0,NA,promoter-TSS (NR_033452),promoter-TSS (NR_033452),407,NM_172626,225432,,NM_172626,ENSMUSG00000024491,Rbm27,A730010I06|Psc1|mKIAA1311,RNA binding motif protein 27,protein-coding
2455,chr7,4843388,4844345,+,0,NA,"intron (NM_172737, intron 1 of 5)","intron (NM_172737, intron 1 of 5)",830,NM_172737,232813,,NM_172737,ENSMUSG00000053550,Shisa7,ckamp59,shisa family member 7,protein-coding
2191,chr5,72559199,72559674,+,0,NA,"intron (NM_133921, intron 1 of 22)",CpG,209,NR_153351,100978,,NM_133921,ENSMUSG00000072889,Nfxl1,1700012H24Rik|D430033A06Rik|DNABF|GCF|Gm1058|TCF9,"nuclear transcription factor, X-box binding-like 1",protein-coding
2295,chr6,14899803,14900263,+,0,NA,Intergenic,Intergenic,-1316,NM_053242,114142,,NM_053242,ENSMUSG00000029563,Foxp2,2810043D05Rik|CAG-16|D0Kist7,forkhead box P2,protein-coding
342,chr11,45944339,45944934,+,0,NA,TTS (NM_001290737),TTS (NM_001290737),299,NM_028185,72290,,NM_028185,ENSMUSG00000044847,Lsm11,2210404M20Rik,U7 snRNP-specific Sm-like protein LSM11,protein-coding
2381,chr6,91212689,91213189,+,0,NA,"intron (NM_007992, intron 1 of 17)",CpG,175,NM_007992,14115,,NM_007992,ENSMUSG00000064080,Fbln2,5730577E14Rik|FIBL-2,fibulin 2,protein-coding
2054,chr4,129513187,129513664,+,0,NA,promoter-TSS (NM_010807),promoter-TSS (NM_010807),-156,NM_010807,17357,,NM_010807,ENSMUSG00000047945,Marcksl1,D4Bc1|F52|MacMARCKS|Macs2|Macs3|Mlp|Mrp,MARCKS-like 1,protein-coding
1269,chr17,64601406,64601462,+,0,NA,promoter-TSS (NM_008549),promoter-TSS (NM_008549),-215,NM_008549,17158,,NM_008549,ENSMUSG00000024085,Man2a1,Mana-2|Mana2|Map-2,"mannosidase 2, alpha 1",protein-coding
246,chr10,80115753,80116738,+,0,NA,"non-coding (NR_126043, exon 1 of 11)","non-coding (NR_126043, exon 1 of 11)",450,NM_011492,20869,,NM_011492,ENSMUSG00000003068,Stk11,Lkb1|Par-4,serine/threonine kinase 11,protein-coding
2384,chr6,96596352,96596605,+,0,NA,"intron (NM_182808, intron 3 of 4)",L1Md_T|LINE|L1,-430273,NR_003643,78482,,NM_030107,ENSMUSG00000072878,Nup50l,1700123L14Rik|Npap60|Nup50,nucleoporin 50 like,pseudo
2612,chr7,118490086,118492028,+,0,NA,"exon (NM_001033380, exon 1 of 1)","exon (NM_001033380, exon 1 of 1)",918,NM_001033380,319622,,NM_001033380,ENSMUSG00000095115,Itpripl2,C130081G24|E030018N11Rik,"inositol 1,4,5-triphosphate receptor interacting protein-like 2",protein-coding
1186,chr17,23742135,23743237,+,0,NA,"exon (NM_028416, exon 7 of 10)","exon (NM_028416, exon 7 of 10)",-2356,NM_023824,76498,,NM_023824,ENSMUSG00000023909,Paqr4,1500004C10Rik,progestin and adipoQ receptor family member IV,protein-coding
564,chr12,8298069,8299245,+,0,NA,"exon (NM_001312876, exon 2 of 2)","exon (NM_001312876, exon 2 of 2)",3297,NM_013527,238057,,NM_013527,ENSMUSG00000037660,Gdf7,BMP12,growth differentiation factor 7,protein-coding
2187,chr5,68437394,68437717,+,0,NA,Intergenic,L1Md_T|LINE|L1,405720,NM_001018019,433899,,NM_001018019,ENSMUSG00000068082,Grxcr1,Tg(Eno2-Gabrb3)0370Brll|pi|tde,"glutaredoxin, cysteine rich 1",protein-coding
3133,chrX,141724567,141725762,+,0,NA,promoter-TSS (NM_010572),promoter-TSS (NM_010572),53,NM_010572,16370,,NM_010572,ENSMUSG00000054667,Irs4,IRS-4,insulin receptor substrate 4,protein-coding
959,chr15,11399930,11400153,+,0,NA,promoter-TSS (NM_033074),promoter-TSS (NM_033074),-383,NM_033074,110960,,NM_033074,ENSMUSG00000022241,Tars1,D15Wsu59e|Tars|ThrRS,threonyl-tRNA synthetase 1,protein-coding
1693,chr2,157204060,157204993,+,0,NA,promoter-TSS (NM_011249),promoter-TSS (NM_011249),8,NM_011249,19650,,NM_011249,ENSMUSG00000027641,Rbl1,PRB1|p107,RB transcriptional corepressor like 1,protein-coding
524,chr11,112784686,112785226,+,0,NA,"exon (NM_011448, exon 3 of 3)","exon (NM_011448, exon 3 of 3)",2746,NM_011448,20682,,NM_011448,ENSMUSG00000000567,Sox9,2010306G03Rik|mKIAA4243|mSox9,SRY (sex determining region Y)-box 9,protein-coding
2986,chr9,79718525,79719337,+,0,NA,promoter-TSS (NM_001290308),promoter-TSS (NM_001290308),-209,NM_001290308,12816,,NM_007730,ENSMUSG00000032332,Col12a1,-,"collagen, type XII, alpha 1",protein-coding
655,chr12,98259018,98259370,+,0,NA,"exon (NM_008079, exon 1 of 17)","exon (NM_008079, exon 1 of 17)",265,NM_008079,14420,,NM_008079,ENSMUSG00000021003,Galc,2310068B06Rik|A930008M05Rik|Gacy|twi|twitcher,galactosylceramidase,protein-coding
128,chr1,128103370,128104026,+,0,NA,promoter-TSS (NM_001285945),promoter-TSS (NM_001285945),392,NM_181750,226412,,NM_181750,ENSMUSG00000056211,R3hdm1,R3hdm,R3H domain containing 1,protein-coding
1885,chr3,136670472,136671032,+,0,NA,"5' UTR (NM_001293622, exon 1 of 13)","5' UTR (NM_001293622, exon 1 of 13)",686,NM_001293622,19055,,NM_008913,ENSMUSG00000028161,Ppp3ca,2900074D19Rik|CN|Caln|Calna|CnA,"protein phosphatase 3, catalytic subunit, alpha isoform",protein-coding
490,chr11,100860290,100860988,+,0,NA,"intron (NM_001362680, intron 2 of 19)","intron (NM_001362680, intron 2 of 19)",155,NM_001164062,20850,,NM_011488,ENSMUSG00000004043,Stat5a,STAT5,signal transducer and activator of transcription 5A,protein-coding
48,chr1,31700804,31701143,+,0,NA,Intergenic,L1Md_T|LINE|L1,436126,NR_015347,226957,,NR_015347,,Gm4850,EG226957,THO complex 4 pseudogene,pseudo
895,chr14,55560038,55560459,+,0,NA,promoter-TSS (NM_001199009),promoter-TSS (NM_001199009),219,NR_037572,28199,,NM_133734,ENSMUSG00000022214,Dcaf11,0710008A13Rik|D14Ucla1|Dacf11|GLO14|Wdr23,DDB1 and CUL4 associated factor 11,protein-coding
1561,chr2,57222432,57222715,+,0,NA,Intergenic,RLTR4_MM-int|LTR|ERV1,-15105,NM_001145820,14571,,NM_010274,ENSMUSG00000026827,Gpd2,GPDH|Gdm1|Gpd-m|Gpdh-m|TISP38,"glycerol phosphate dehydrogenase 2, mitochondrial",protein-coding
1516,chr2,29054625,29055219,+,0,NA,"exon (NM_001166705, exon 1 of 6)","exon (NM_001166705, exon 1 of 6)",144,NM_001166705,329375,,NM_001085514,ENSMUSG00000079502,Cfap77,1700101E01Rik|Gm823,cilia and flagella associated protein 77,protein-coding
1009,chr15,79108534,79108888,+,0,NA,promoter-TSS (NM_177461),promoter-TSS (NM_177461),-272,NM_177461,27008,,NM_177461,ENSMUSG00000033039,Micall1,D15Mit260|D15N2e|EST573322|EST820961|MIRab13|mKIAA1668,"microtubule associated monooxygenase, calponin and LIM domain containing -like 1",protein-coding
551,chr11,120530679,120531157,+,0,NA,"intron (NM_008101, intron 1 of 13)",CpG,191,NM_008101,14527,,NM_008101,ENSMUSG00000025127,Gcgr,GR,glucagon receptor,protein-coding
1937,chr4,43039984,43040253,+,0,NA,"5' UTR (NM_001253353, exon 1 of 9)","5' UTR (NM_001253353, exon 1 of 9)",183,NM_001253353,230088,,NM_172691,ENSMUSG00000036002,Atosb,B230312A22Rik|Fam214b,atos homolog B,protein-coding
2839,chr8,123591274,123591663,+,0,NA,Intergenic,5S|rRNA|rRNA,-25381,NR_046127,100861480,,NR_046127,ENSMUSG00000119748,Gm25018,Rn5s10,"predicted gene, 25018",rRNA
2170,chr5,36238003,36238521,+,0,NA,"intron (NM_030889, intron 1 of 26)",L1Md_T|LINE|L1,34241,NM_175249,76943,,NM_175249,ENSMUSG00000043430,Psapl1,2310020A21Rik,prosaposin-like 1,protein-coding
1438,chr19,29647865,29648180,+,0,NA,"intron (NM_001081213, intron 1 of 14)",CpG,393,NM_001081213,226090,,NM_001081213,ENSMUSG00000046324,Ermp1,D19Ertd410e|D19Wsu12e|Fxna|b2b2633Clo|mKIAA1815,endoplasmic reticulum metallopeptidase 1,protein-coding
687,chr12,112678522,112679692,+,0,NA,"intron (NM_001100460, intron 1 of 1)",CpG,267,NM_001100460,382639,,NM_001100460,ENSMUSG00000037638,Zbtb42,EG382639|Gm5188|simiRP58,zinc finger and BTB domain containing 42,protein-coding
1626,chr2,118372804,118374303,+,0,NA,promoter-TSS (NM_201367),promoter-TSS (NM_201367),-134,NM_201367,381413,,NM_201367,ENSMUSG00000040133,Gpr176,Gm1012,G protein-coupled receptor 176,protein-coding
